,rmsd,rmsdh1,rmsdh2,rmsdh3,rmsdl1,rmsdl2,rmsdl3
l12_1,0.3602,0.2944,0.4078,0.8615,0.5209,0.3452,0.5401
l13_1,0.3563,0.2979,0.4029,0.8188,0.5053,0.3732,0.4736
l13_3,0.348,0.2956,0.3992,0.7555,0.475,0.3573,0.4712
l13_2,0.3811,0.3238,0.4806,0.8731,0.4967,0.3561,0.5575
l12_3,0.3537,0.2976,0.4061,0.7336,0.5211,0.3489,0.5186
l13_4,0.3753,0.3006,0.4056,0.9919,0.4904,0.3712,0.4807
l12_4,0.3537,0.3005,0.4078,0.7426,0.5502,0.3609,0.5441
l13_5,0.3612,0.2986,0.4056,0.8713,0.4829,0.3693,0.4788
l12_5,0.4074,0.367,0.5403,0.9544,0.5588,0.3477,0.659
l12_2,0.3536,0.2932,0.4083,0.7847,0.5487,0.3533,0.5376
